achievement_id,achievement_name,description,image_path
1,Сухой лист,"""Сухой лист"" - гол забитый прямым ударом с углового, когда мяч, никого не касаясь по пути, залетает прямо в сетку ворот.",achievement_pic/1.png
2,Забил головой,Гол забитый головой.,achievement_pic/2.png
3,Через себя,"Гол забитый ""через себя"". Удар через себя в футболе, также известный как бисиклета или «удар ножницами», — один из самых зрелищных и сложных технических приёмов в футболе. ",achievement_pic/3.png
4,Рабона,"Гол забитый приемом ""Рабона"". Удар рабоной — это приём, при котором бьющая нога заводится позади опорной, ноги скрещиваются, и игрок наносит удар по мячу.",achievement_pic/4.png
5,Взял пенальти,"Пенальти в футболе — это удар по воротам с 11 метров, который назначают за нарушение правил в штрафной площади. Чаще всего причиной становятся подножка, толчок, задержка соперника руками, грубый подкат или игра рукой. Вратарь защитивший свои ворота от такого удара сотворил практически невозможное.",achievement_pic/5.png
6,Срыв атаки,Срыв атаки сопреника с преимуществом со стороны нападающих.,achievement_pic/6.png
7,Типичный Валера,Гол с выхода двоих нападающих в одного защитника.,achievement_pic/7.png
8,Пас назад,В дворовом футболе пас совему голкиперу всегда лотерея - может и пропустить.,achievement_pic/8.png
9,Ржавые ножницы,"Удар через себя в футболе, также известный как бисиклета или «удар ножницами», — один из самых зрелищных и сложных технических приёмов в футболе, особенно если не получается.",achievement_pic/9.png
10,Мяч,"Когда просто пришел поиграть с друзьями в футбол, а тебя посчитали.",achievement_pic/10.png
11,Местные,Пришел поиграть не отметившись в голосовании.,achievement_pic/11.png
12,Фол,"Фол в футболе — это несправедливое действие игрока, по мнению судьи противоречащее правилам игры и мешающее активному ходу матча. ",achievement_pic/12.png
13,Закинуть за шиворот,Гол забитый вратарю который находился вне своей штрафной.,achievement_pic/13.png
14,Пустить за шиворот,Вратарь вышел из своей штрафной и пропустил гол.,achievement_pic/14.png
15,Круг,Выиграть три игры подряд.,achievement_pic/15.png
16,Два круга,Выиграть шесть игр подряд.,achievement_pic/16.png
17,Три круга,Выиграть девять игр подряд.,achievement_pic/17.png
18,Грузи на Пашу,Достижение получает вратарь за голевой пас из совей штрафной.,achievement_pic/18.png
19,КЭП,Поучавствовать в дележке в качестве капитана.,achievement_pic/19.png
20,Кого-то еще…,Записался и не пришел.,achievement_pic/20.png
